<<<<<<< current
caseid,age,school,y,xa,xb,xc,za,zb
1.0,26.0,0.0,16.25356366840605,1.0,8.0,0.27742222045512394,1.0,1.426959424117312
1.0,27.0,0.0,19.049685422435033,1.0,9.0,0.27742222045512394,1.0,1.426959424117312
1.0,28.0,0.0,19.53292052394608,1.0,10.0,0.27742222045512394,1.0,1.426959424117312
1.0,29.0,0.0,20.524371128479853,1.0,11.0,0.27742222045512394,1.0,1.426959424117312
2.0,26.0,1.0,13.765018044899897,1.0,4.0,0.9763466114409691,1.0,-1.9297246117130618
2.0,27.0,1.0,17.78727635279908,1.0,5.0,0.9763466114409691,1.0,-1.9297246117130618
2.0,28.0,1.0,21.695886178750307,1.0,6.0,0.9763466114409691,1.0,-1.9297246117130618
2.0,29.0,1.0,24.38986468490847,1.0,7.0,0.9763466114409691,1.0,-1.9297246117130618
3.0,26.0,1.0,13.859912444085943,1.0,4.0,0.7738441829877261,1.0,-0.8811872000829845
3.0,27.0,1.0,15.895054857295488,1.0,5.0,0.7738441829877261,1.0,-0.8811872000829845
3.0,28.0,1.0,20.51316709523733,1.0,6.0,0.7738441829877261,1.0,-0.8811872000829845
3.0,29.0,1.0,23.100344205070474,1.0,7.0,0.7738441829877261,1.0,-0.8811872000829845
4.0,26.0,0.0,15.453006164477138,1.0,8.0,-0.8495311077098363,1.0,1.043019313355126
4.0,27.0,0.0,16.127698409097277,1.0,9.0,-0.8495311077098363,1.0,1.043019313355126
4.0,28.0,0.0,18.562229900499027,1.0,10.0,-0.8495311077098363,1.0,1.043019313355126
4.0,29.0,0.0,20.001108829037005,1.0,11.0,-0.8495311077098363,1.0,1.043019313355126
5.0,26.0,0.0,15.180685580075336,1.0,8.0,0.480351034469041,1.0,0.06420932954778148
5.0,27.0,0.0,16.844850600175402,1.0,9.0,0.480351034469041,1.0,0.06420932954778148
5.0,28.0,0.0,18.26950005841702,1.0,10.0,0.480351034469041,1.0,0.06420932954778148
5.0,29.0,0.0,20.89518534487099,1.0,11.0,0.480351034469041,1.0,0.06420932954778148
6.0,26.0,1.0,15.017303843227378,1.0,4.0,0.41949697013882015,1.0,-0.18137281098763136
6.0,27.0,1.0,18.25084043852525,1.0,5.0,0.41949697013882015,1.0,-0.18137281098763136
