"caseid","xsa","xsb","xsb2","xsbc","xsbc2","xsc","za","zb","school"
1.0,4.0,38.0,366.0,22.0,126.0,-3.8649919817746303,1.0,-0.41650809847386566,0.0
2.0,4.0,38.0,366.0,22.0,126.0,1.7123658450865926,1.0,0.9759618582215088,0.0
3.0,4.0,38.0,366.0,22.0,126.0,5.56700726668544,1.0,1.8434004663987473,0.0
4.0,4.0,22.0,126.0,38.0,366.0,3.5154689628284213,1.0,-0.7184333851977626,1.0
5.0,4.0,22.0,126.0,38.0,366.0,0.5315093569364027,1.0,-0.9042563652412032,1.0
6.0,4.0,38.0,366.0,22.0,126.0,-10.293033423300756,1.0,1.3786208768367345,0.0
7.0,4.0,22.0,126.0,38.0,366.0,7.4581373544141005,1.0,0.7427332616961112,1.0
8.0,4.0,38.0,366.0,22.0,126.0,-3.4940905849559756,1.0,0.369876349568654,0.0
9.0,4.0,38.0,366.0,22.0,126.0,2.1713576240680066,1.0,1.7796432787041008,0.0
10.0,4.0,22.0,126.0,38.0,366.0,3.4051453011375132,1.0,-0.9078427808578008,1.0
11.0,4.0,22.0,126.0,38.0,366.0,-7.832400538601667,1.0,-1.8771085075874872,1.0
12.0,4.0,38.0,366.0,22.0,126.0,-3.2185118891259186,1.0,0.2389700646996935,0.0
13.0,4.0,22.0,126.0,38.0,366.0,3.804358196372723,1.0,-0.1214714918670164,1.0
14.0,4.0,22.0,126.0,38.0,366.0,0.7009794456208437,1.0,-0.803587979101772,1.0
15.0,4.0,22.0,126.0,38.0,366.0,8.763940619199033,1.0,-1.2677879683198927,1.0
16.0,4.0,22.0,126.0,38.0,366.0,-1.0151386444102648,1.0,-1.63217257806355,1.0
17.0,4.0,22.0,126.0,38.0,366.0,2.3706207385289124,1.0,-0.3058843517445398,1.0
18.0,4.0,22.0,126.0,38.0,366.0,-5.314340831504084,1.0,-1.5702416504380567,1.0
19.0,4.0,22.0,126.0,38.0,366.0,2.8095253570058225,1.0,-2.150578199202917,1.0
20.0,4.0,22.0,126.0,38.0,366.0,3.627986996535872,1.0,-0.6840242358329813,1.0
21.0,4.0,38.0,366.0,22.0,126.0,-2.737210641913952,1.0,1.3461033624454892,0.0
22.0,4.0,22.0,126.0,38.0,366.0,-3.0745181987405004,1.0,-2.722435131246654,1.0
