"","caseid","age","earnings","scores_cognitive_skill","meduc","feduc","faminc79","numsibs","tuit4","school","yob"
"1",1,26,28281.03125,1.56363952159882,4,4,3.5,1,0.31183198094368,1,1960
"2",1,27,30316.908203125,1.56363952159882,4,4,3.5,1,0.31183198094368,1,1960
"3",1,28,32023.6640625,1.56363952159882,4,4,3.5,1,0.31183198094368,1,1960
"4",1,29,31940.3359375,1.56363952159882,4,4,3.5,1,0.31183198094368,1,1960
"5",2,26,24005.57421875,-1.11397743225098,4,4,2.20000004768372,4,0.317423671483994,0,1959
"6",2,27,41635.97265625,-1.11397743225098,4,4,2.20000004768372,4,0.317423671483994,0,1959
"7",2,28,51235.5859375,-1.11397743225098,4,4,2.20000004768372,4,0.317423671483994,0,1959
"8",2,29,55313.62109375,-1.11397743225098,4,4,2.20000004768372,4,0.317423671483994,0,1959
"9",3,26,41661.30859375,-1.69958603382111,6,4,2.09999990463257,1,0.145400926470757,0,1963
"10",3,27,31620.49609375,-1.69958603382111,6,4,2.09999990463257,1,0.145400926470757,0,1963
"11",3,28,11378.8525390625,-1.69958603382111,6,4,2.09999990463257,1,0.145400926470757,0,1963
"12",3,29,36207.40234375,-1.69958603382111,6,4,2.09999990463257,1,0.145400926470757,0,1963
"13",4,26,35208.1640625,-0.222389534115791,3,3,1.5,2,0.317423671483994,0,1959
"14",4,27,34565.69140625,-0.222389534115791,3,3,1.5,2,0.317423671483994,0,1959
"15",4,28,57602.09375,-0.222389534115791,3,3,1.5,2,0.317423671483994,0,1959
"16",4,29,50946.75,-0.222389534115791,3,3,1.5,2,0.317423671483994,0,1959
"17",5,26,47851.1015625,0.663260221481323,4,7,3.23880004882812,1,0.377633780241013,0,1959
"18",5,27,48706.21875,0.663260221481323,4,7,3.23880004882812,1,0.377633780241013,0,1959
"19",5,28,50022.90234375,0.663260221481323,4,7,3.23880004882812,1,0.377633780241013,0,1959
"20",5,29,49491.11328125,0.663260221481323,4,7,3.23880004882812,1,0.377633780241013,0,1959
"21",6,26,32007.451171875,1.4693284034729,1,1,5,2,0.317423671483994,0,1959
"22",6,27,33308.7421875,1.4693284034729,1,1,5,2,0.317423671483994,0,1959
"23",6,28,34682.546875,1.4693284034729,1,1,5,2,0.317423671483994,0,1959
"24",6,29,37846.15234375,1.4693284034729,1,1,5,2,0.317423671483994,0,1959
"25",7,26,9720.9658203125,0.302572965621948,6,8,2.85054659843445,5,0.145400926470757,1,1963
"26",7,27,9881.4052734375,0.302572965621948,6,8,2.85054659843445,5,0.145400926470757,1,1963
"27",7,28,10114.5400390625,0.302572965621948,6,8,2.85054659843445,5,0.145400926470757,1,1963
"28",7,29,9205.275390625,0.302572965621948,6,8,2.85054659843445,5,0.145400926470757,1,1963
"29",8,26,32484.314453125,1.11917877197266,1,1,0.788458824157715,2,0.298892319202423,1,1958
"30",8,27,38088.85546875,1.11917877197266,1,1,0.788458824157715,2,0.298892319202423,1,1958
"31",8,28,45092.51953125,1.11917877197266,1,1,0.788458824157715,2,0.298892319202423,1,1958
"32",8,29,51841.9140625,1.11917877197266,1,1,0.788458824157715,2,0.298892319202423,1,1958
