"caseid","xsa","xsb","xsb2","xsbc","xsbc2","xsc","za","zb","zc","zd","ze","zf","zg","school"
1,4.0,38.0,366.0,54.0,734.0,12.100712129872347,1.0,9.481764990992152,10.714417768752456,1.0,1.56363952159882,4.0,4.0,1.0
2,4.0,22.0,126.0,6.0,14.0,11.759785557802916,1.0,9.486018437373804,10.373491196683027,4.0,-1.1139774322509801,4.0,4.0,0.0
3,4.0,22.0,126.0,6.0,14.0,11.728036813823486,1.0,9.346095101815669,10.341742452703595,1.0,-1.69958603382111,6.0,4.0,0.0
4,4.0,22.0,126.0,6.0,14.0,11.512925464970229,1.0,9.486018437373804,10.126631103850338,2.0,-0.222389534115791,3.0,3.0,0.0
5,4.0,22.0,126.0,6.0,14.0,12.040914954933944,1.0,9.53070774744775,10.654620593814053,1.0,0.663260221481323,4.0,7.0,0.0
6,4.0,22.0,126.0,6.0,14.0,12.388394202324129,1.0,9.486018437373804,11.002099841204238,2.0,1.4693284034729,1.0,1.0,0.0
7,4.0,38.0,366.0,54.0,734.0,11.944849844937803,1.0,9.346095101815669,10.558555483817912,5.0,0.302572965621948,6.0,8.0,1.0
8,4.0,38.0,366.0,54.0,734.0,11.177988989991494,1.0,9.471852211080403,9.791694628871603,2.0,1.11917877197266,1.0,1.0,1.0
9,4.0,22.0,126.0,6.0,14.0,11.184421404620931,1.0,9.34167616587949,9.79812704350104,1.0,-1.48782455921173,1.0,1.0,0.0
10,4.0,38.0,366.0,54.0,734.0,11.512925464970229,1.0,9.471852211080403,10.126631103850338,1.0,1.29237270355225,3.0,2.0,1.0
11,4.0,38.0,366.0,54.0,734.0,11.567413644835696,1.0,9.471852211080403,10.181119283715805,2.0,0.859718263149261,3.0,3.0,1.0
12,4.0,38.0,366.0,54.0,734.0,11.338572089178717,1.0,9.40267891713151,9.952277728058826,1.0,1.25143444538116,4.0,3.0,1.0
13,4.0,38.0,366.0,54.0,734.0,11.84939770159144,1.0,9.369104958209698,10.46310334047155,2.0,0.180376455187798,3.0,3.0,1.0
14,4.0,38.0,366.0,54.0,734.0,11.84939770159144,1.0,9.471852211080403,10.46310334047155,2.0,1.46858203411102,3.0,2.0,1.0
15,4.0,22.0,126.0,6.0,14.0,11.623439177303617,1.0,9.400753270631867,10.237144816183726,3.0,0.633967220783234,4.0,4.0,0.0
